tier,track,primary_track,paper_id,sequence,status,evidence_level,year,venue,title,overview_path,started_on,completed_on,problem_and_assumptions,observation_state_action_control,embodiment_task_data_metrics,failure_modes,research_relevance,next_action,personal_notes
NEXT,"Planning, control, simulation, and TAMP extensions",Planning and control,pr-0195,6,UNREAD,FULL_TEXT_CHECKED,2026,ICRA,Open-Vocabulary Spatio-Temporal Scene Graph for Robot Perception and Teleoperation Planning,./2026/ICRA/2026_ICRA_Open-Vocabulary-Spatio-Temporal-Scene-Graph-for-Robot-Perc/01_overview.md,,,,,,,,,
NEXT,"Planning, control, simulation, and TAMP extensions",Planning and control,pr-0767,7,UNREAD,FULL_TEXT_CHECKED,2024,CVPR,Lookahead Exploration with Neural Radiance Representation for Continuous Vision-Language Navigation,./2024/CVPR/2024_CVPR_Lookahead-Exploration-with-Neural-Radiance-Representation/01_overview.md,,,,,,,,,
NEXT,"Planning, control, simulation, and TAMP extensions",Planning and control,pr-0288,8,UNREAD,FULL_TEXT_CHECKED,2025,IROS,FOCI: Trajectory Optimization on Gaussian Splats,./2025/IROS/2025_IROS_FOCI-Trajectory-Optimization-on-Gaussian-Splats/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0839,9,UNREAD,ABSTRACT_CHECKED,2022,NeurIPS,Behavior Transformers: Cloning k modes with one stone,./2022/NeurIPS/2022_NeurIPS_Behavior-Transformers-Cloning-k-modes-with-one-stone/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0842,10,UNREAD,ABSTRACT_CHECKED,2022,CoRL,R3M: A Universal Visual Representation for Robot Manipulation,./2022/CoRL/2022_CoRL_R3M-A-Universal-Visual-Representation-for-Robot-Manipulati/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0843,11,UNREAD,ABSTRACT_CHECKED,2023,arXiv,Where are we in the search for an Artificial Visual Cortex for Embodied Intelligence?,./2023/arXiv/2023_arXiv_Where-are-we-in-the-search-for-an-Artificial-Visual-Cortex/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0855,12,UNREAD,ABSTRACT_CHECKED,2018,ICLR,Maximum a Posteriori Policy Optimisation,./2018/ICLR/2018_ICLR_Maximum-a-Posteriori-Policy-Optimisation/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0856,13,UNREAD,ABSTRACT_CHECKED,2021,arXiv,MT-Opt: Continuous Multi-Task Robotic Reinforcement Learning at Scale,./2021/arXiv/2021_arXiv_MT-Opt-Continuous-Multi-Task-Robotic-Reinforcement-Learnin/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0861,14,UNREAD,ABSTRACT_CHECKED,2021,NeurIPS Datasets and Benchmarks,Isaac Gym: High Performance GPU Based Physics Simulation For Robot Learning,./2021/NeurIPS-Datasets-and-Ben/2021_NeurIPS-Datasets-and-Ben_Isaac-Gym-High-Performance-GPU-Based-Physics-Simulation-Fo/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0864,15,UNREAD,ABSTRACT_CHECKED,2024,ICLR,Eureka: Human-Level Reward Design via Coding Large Language Models,./2024/ICLR/2024_ICLR_Eureka-Human-Level-Reward-Design-via-Coding-Large-Language/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0865,16,UNREAD,ABSTRACT_CHECKED,2024,Robotics: Science and Systems,DrEureka: Language Model Guided Sim-To-Real Transfer,./2024/Robotics-Science-and-Sys/2024_Robotics-Science-and-Sys_DrEureka-Language-Model-Guided-Sim-To-Real-Transfer/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0616,17,UNREAD,FULL_TEXT_CHECKED,2016,ICLR,Continuous Control with Deep Reinforcement Learning,./2016/ICLR/2016_ICLR_Continuous-Control-with-Deep-Reinforcement-Learning/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0619,18,UNREAD,FULL_TEXT_CHECKED,2018,ICML,Addressing Function Approximation Error in Actor-Critic Methods,./2018/ICML/2018_ICML_Addressing-Function-Approximation-Error-in-Actor-Critic-Me/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0617,19,UNREAD,FULL_TEXT_CHECKED,2017,NeurIPS,Hindsight Experience Replay,./2017/NeurIPS/2017_NeurIPS_Hindsight-Experience-Replay/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0618,20,UNREAD,FULL_TEXT_CHECKED,2017,ICML,Constrained Policy Optimization,./2017/ICML/2017_ICML_Constrained-Policy-Optimization/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0622,21,UNREAD,FULL_TEXT_CHECKED,2020,NeurIPS,Conservative Q-Learning for Offline Reinforcement Learning,./2020/NeurIPS/2020_NeurIPS_Conservative-Q-Learning-for-Offline-Reinforcement-Learning/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0621,22,UNREAD,FULL_TEXT_CHECKED,2020,NeurIPS,MOPO: Model-based Offline Policy Optimization,./2020/NeurIPS/2020_NeurIPS_MOPO-Model-based-Offline-Policy-Optimization/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0623,23,UNREAD,FULL_TEXT_CHECKED,2021,NeurIPS,A Minimalist Approach to Offline Reinforcement Learning,./2021/NeurIPS/2021_NeurIPS_A-Minimalist-Approach-to-Offline-Reinforcement-Learning/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0633,24,UNREAD,FULL_TEXT_CHECKED,2018,RSS,Learning Complex Dexterous Manipulation with Deep Reinforcement Learning and Demonstrations,./2018/RSS/2018_RSS_Learning-Complex-Dexterous-Manipulation-with-Deep-Reinforc/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0634,25,UNREAD,FULL_TEXT_CHECKED,2020,CoRL,Learning Latent Plans from Play,./2020/CoRL/2020_CoRL_Learning-Latent-Plans-from-Play/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0635,26,UNREAD,FULL_TEXT_CHECKED,2020,CoRL,Relay Policy Learning: Solving Long-Horizon Tasks via Imitation and Reinforcement Learning,./2020/CoRL/2020_CoRL_Relay-Policy-Learning-Solving-Long-Horizon-Tasks-via-Imita/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0753,27,UNREAD,FULL_TEXT_CHECKED,2020,RA-L,RLBench: The Robot Learning Benchmark & Learning Environment,./2020/RA-L/2020_RA-L_RLBench-The-Robot-Learning-Benchmark-and-Learning-Environm/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0637,28,UNREAD,FULL_TEXT_CHECKED,2023,CoRL,MimicGen: A Data Generation System for Scalable Robot Learning using Human Demonstrations,./2023/CoRL/2023_CoRL_MimicGen-A-Data-Generation-System-for-Scalable-Robot-Learn/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0732,29,UNREAD,FULL_TEXT_CHECKED,2024,RSS,DROID: A Large-Scale In-The-Wild Robot Manipulation Dataset,./2024/RSS/2024_RSS_DROID-A-Large-Scale-In-The-Wild-Robot-Manipulation-Dataset/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0873,30,UNREAD,ABSTRACT_CHECKED,2024,RSS,Universal Manipulation Interface: In-The-Wild Robot Teaching Without In-The-Wild Robots,./2024/RSS/2024_RSS_Universal-Manipulation-Interface-In-The-Wild-Robot-Teachin/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0874,31,UNREAD,ABSTRACT_CHECKED,2024,ICRA,SERL: A Software Suite for Sample-Efficient Robotic Reinforcement Learning,./2024/ICRA/2024_ICRA_SERL-A-Software-Suite-for-Sample-Efficient-Robotic-Reinfor/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0875,32,UNREAD,ABSTRACT_CHECKED,2024,ICRA,Robot Fine-Tuning Made Easy: Pre-Training Rewards and Policies for Autonomous Real-World Reinforcement Learning,./2024/ICRA/2024_ICRA_Robot-Fine-Tuning-Made-Easy-Pre-Training-Rewards-and-Polic/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0886,33,UNREAD,ABSTRACT_CHECKED,2025,RSS,RLDG: Robotic Generalist Policy Distillation via Reinforcement Learning,./2025/RSS/2025_RSS_RLDG-Robotic-Generalist-Policy-Distillation-via-Reinforcem/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0887,34,UNREAD,ABSTRACT_CHECKED,2025,RSS,Demonstrating GPU Parallelized Robot Simulation and Rendering for Generalizable Embodied AI with ManiSkill3,./2025/RSS/2025_RSS_Demonstrating-GPU-Parallelized-Robot-Simulation-and-Render/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0888,35,UNREAD,ABSTRACT_CHECKED,2025,RSS,"RoboVerse: A Unified Platform, Benchmark and Dataset for Scalable and Generalizable Robot Learning",./2025/RSS/2025_RSS_RoboVerse-A-Unified-Platform-Benchmark-and-Dataset-for-Sca/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0899,36,UNREAD,ABSTRACT_CHECKED,2025,RSS,DexWild: Dexterous Human Interactions for In-the-Wild Robot Policies,./2025/RSS/2025_RSS_DexWild-Dexterous-Human-Interactions-for-In-the-Wild-Robot/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0902,37,UNREAD,ABSTRACT_CHECKED,2025,RSS,Dex1B: Learning with 1B Demonstrations for Dexterous Manipulation,./2025/RSS/2025_RSS_Dex1B-Learning-with-1B-Demonstrations-for-Dexterous-Manipu/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0903,38,UNREAD,ABSTRACT_CHECKED,2025,RSS,Sim-and-Real Co-Training: A Simple Recipe for Vision-Based Robotic Manipulation,./2025/RSS/2025_RSS_Sim-and-Real-Co-Training-A-Simple-Recipe-for-Vision-Based/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0906,39,UNREAD,ABSTRACT_CHECKED,2025,RSS,Novel Demonstration Generation with Gaussian Splatting Enables Robust One-Shot Manipulation,./2025/RSS/2025_RSS_Novel-Demonstration-Generation-with-Gaussian-Splatting-Ena/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0908,40,UNREAD,ABSTRACT_CHECKED,2025,RSS,You Only Teach Once: Learn One-Shot Bimanual Robotic Manipulation from Video Demonstrations,./2025/RSS/2025_RSS_You-Only-Teach-Once-Learn-One-Shot-Bimanual-Robotic-Manipu/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0910,41,UNREAD,ABSTRACT_CHECKED,2025,RSS,RoboMIND: Benchmark on Multi-embodiment Intelligence Normative Data for Robot Manipulation,./2025/RSS/2025_RSS_RoboMIND-Benchmark-on-Multi-embodiment-Intelligence-Normat/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0911,42,UNREAD,ABSTRACT_CHECKED,2025,RSS,Bridging Perception and Action: Spatially-Grounded Mid-Level Representations for Robot Generalization,./2025/RSS/2025_RSS_Bridging-Perception-and-Action-Spatially-Grounded-Mid-Leve/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0912,43,UNREAD,ABSTRACT_CHECKED,2025,RSS,DemoGen: Synthetic Demonstration Generation for Data-Efficient Visuomotor Policy Learning,./2025/RSS/2025_RSS_DemoGen-Synthetic-Demonstration-Generation-for-Data-Effici/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0913,44,UNREAD,ABSTRACT_CHECKED,2025,IROS,AgiBot World Colosseo: A Large-scale Manipulation Platform for Scalable and Intelligent Embodied Systems,./2025/IROS/2025_IROS_AgiBot-World-Colosseo-A-Large-scale-Manipulation-Platform/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0914,45,UNREAD,ABSTRACT_CHECKED,2024,arXiv,Precise and Dexterous Robotic Manipulation via Human-in-the-Loop Reinforcement Learning,./2024/arXiv/2024_arXiv_Precise-and-Dexterous-Robotic-Manipulation-via-Human-in-th/01_overview.md,,,,,,,,,
NEXT,"RL, IL, offline learning, and robot data","RL, IL, offline learning, and robot data",pr-0920,46,UNREAD,ABSTRACT_CHECKED,2026,AAAI,MP1: MeanFlow Tames Policy Learning in 1-step for Robotic Manipulation,./2026/AAAI/2026_AAAI_MP1-MeanFlow-Tames-Policy-Learning-in-1-step-for-Robotic-M/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0840,47,UNREAD,ABSTRACT_CHECKED,2018,CoRL,Dense Object Nets: Learning Dense Visual Object Descriptors By and For Robotic Manipulation,./2018/CoRL/2018_CoRL_Dense-Object-Nets-Learning-Dense-Visual-Object-Descriptors/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0716,48,UNREAD,FULL_TEXT_CHECKED,2022,RA-L,UMPNet: Universal Manipulation Policy Network for Articulated Objects,./2022/RA-L/2022_RA-L_UMPNet-Universal-Manipulation-Policy-Network-for-Articulat/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0538,49,UNREAD,FULL_TEXT_CHECKED,2023,CoRL,Distilled Feature Fields Enable Few-Shot Language-Guided Manipulation,./2023/CoRL/2023_CoRL_Distilled-Feature-Fields-Enable-Few-Shot-Language-Guided-M/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0262,50,UNREAD,FULL_TEXT_CHECKED,2024,RA-L,GaussianGrasper: 3D Language Gaussian Splatting for Open-vocabulary Robotic Grasping,./2024/RA-L/2024_RA-L_GaussianGrasper-3D-Language-Gaussian-Splatting-for-Open-vo/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0208,51,UNREAD,FULL_TEXT_CHECKED,2024,ECCV,ManiGaussian: Dynamic Gaussian Splatting for Multi-task Robotic Manipulation,./2024/ECCV/2024_ECCV_ManiGaussian-Dynamic-Gaussian-Splatting-for-Multi-task-Rob/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0176,52,UNREAD,FULL_TEXT_CHECKED,2025,ICRA,Gaussian Splatting Visual MPC for Granular Media Manipulation,./2025/ICRA/2025_ICRA_Gaussian-Splatting-Visual-MPC-for-Granular-Media-Manipulat/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0177,53,UNREAD,FULL_TEXT_CHECKED,2025,ICRA,Persistent Object Gaussian Splat (POGS) for Tracking Human and Robot Manipulation of Irregularly Shaped Objects,./2025/ICRA/2025_ICRA_Persistent-Object-Gaussian-Splat-POGS-for-Tracking-Human-a/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0849,54,UNREAD,ABSTRACT_CHECKED,2020,IEEE Robotics and Automation Letters,DIGIT: A Novel Design for a Low-Cost Compact High-Resolution Tactile Sensor with Application to In-Hand Manipulation,./2020/IEEE-Robotics-and-Automa/2020_IEEE-Robotics-and-Automa_DIGIT-A-Novel-Design-for-a-Low-Cost-Compact-High-Resolutio/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0866,55,UNREAD,ABSTRACT_CHECKED,2023,ICRA,DeXtreme: Transfer of Agile In-hand Manipulation from Simulation to Reality,./2023/ICRA/2023_ICRA_DeXtreme-Transfer-of-Agile-In-hand-Manipulation-from-Simul/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0643,56,UNREAD,FULL_TEXT_CHECKED,2014,ICRA,Control-Limited Differential Dynamic Programming,./2014/ICRA/2014_ICRA_Control-Limited-Differential-Dynamic-Programming/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0644,57,UNREAD,FULL_TEXT_CHECKED,2019,RSS,In-Hand Manipulation via Motion Cones,./2019/RSS/2019_RSS_In-Hand-Manipulation-via-Motion-Cones/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0650,58,UNREAD,FULL_TEXT_CHECKED,2024,RSS,Towards Tight Convex Relaxations for Contact-Rich Manipulation,./2024/RSS/2024_RSS_Towards-Tight-Convex-Relaxations-for-Contact-Rich-Manipula/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0651,59,UNREAD,FULL_TEXT_CHECKED,2025,RSS,Physics-Driven Data Generation for Contact-Rich Manipulation via Trajectory Optimization,./2025/RSS/2025_RSS_Physics-Driven-Data-Generation-for-Contact-Rich-Manipulati/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0652,60,UNREAD,FULL_TEXT_CHECKED,2025,RSS,Complementarity-Free Multi-Contact Modeling and Optimization for Dexterous Manipulation,./2025/RSS/2025_RSS_Complementarity-Free-Multi-Contact-Modeling-and-Optimizati/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0738,61,UNREAD,FULL_TEXT_CHECKED,2020,CoRL,SoftGym: Benchmarking Deep Reinforcement Learning for Deformable Object Manipulation,./2020/CoRL/2020_CoRL_SoftGym-Benchmarking-Deep-Reinforcement-Learning-for-Defor/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0741,62,UNREAD,FULL_TEXT_CHECKED,2022,ICLR,DiffSkill: Skill Abstraction from Differentiable Physics for Deformable Object Manipulations with Tools,./2022/ICLR/2022_ICLR_DiffSkill-Skill-Abstraction-from-Differentiable-Physics-fo/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0503,63,UNREAD,FULL_TEXT_CHECKED,2021,CoRL,Neural Descriptor Fields: SE(3)-Equivariant Object Representations for Manipulation,./2021/CoRL/2021_CoRL_Neural-Descriptor-Fields-SE3-Equivariant-Object-Representa/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0761,64,UNREAD,FULL_TEXT_CHECKED,2024,CVPR,Diffusion-EDFs: Bi-equivariant Denoising Generative Modeling on SE(3) for Visual Robotic Manipulation,./2024/CVPR/2024_CVPR_Diffusion-EDFs-Bi-equivariant-Denoising-Generative-Modelin/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0737,65,UNREAD,FULL_TEXT_CHECKED,2023,RSS,IndustReal: Transferring Contact-Rich Assembly Tasks from Simulation to Reality,./2023/RSS/2023_RSS_IndustReal-Transferring-Contact-Rich-Assembly-Tasks-from-S/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0711,66,UNREAD,FULL_TEXT_CHECKED,2024,CVPR,Binding Touch to Everything: Learning Unified Multimodal Tactile Representations,./2024/CVPR/2024_CVPR_Binding-Touch-to-Everything-Learning-Unified-Multimodal-Ta/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0076,67,UNREAD,FULL_TEXT_CHECKED,2025,ICLR,DenseMatcher: Learning 3D Semantic Correspondence for Category-Level Manipulation from a Single Demo,./2025/ICLR/2025_ICLR_DenseMatcher-Learning-3D-Semantic-Correspondence-for-Categ/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0345,68,UNREAD,FULL_TEXT_CHECKED,2025,CVPR,G3Flow: Generative 3D Semantic Flow for Pose-aware and Generalizable Object Manipulation,./2025/CVPR/2025_CVPR_G3Flow-Generative-3D-Semantic-Flow-for-Pose-aware-and-Gene/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0751,69,UNREAD,FULL_TEXT_CHECKED,2025,RSS,Reactive Diffusion Policy: Slow-Fast Visual-Tactile Policy Learning for Contact-Rich Manipulation,./2025/RSS/2025_RSS_Reactive-Diffusion-Policy-Slow-Fast-Visual-Tactile-Policy/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0690,70,UNREAD,FULL_TEXT_CHECKED,2026,CVPR,AT-VLA: Adaptive Tactile Injection for Enhanced Feedback Reaction in Vision-Language-Action Models,./2026/CVPR/2026_CVPR_AT-VLA-Adaptive-Tactile-Injection-for-Enhanced-Feedback-Re/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0691,71,UNREAD,FULL_TEXT_CHECKED,2026,CVPR,ForceVLA2: Unleashing Hybrid Force-Position Control with Force Awareness for Contact-Rich Manipulation,./2026/CVPR/2026_CVPR_ForceVLA2-Unleashing-Hybrid-Force-Position-Control-with-Fo/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0686,72,UNREAD,FULL_TEXT_CHECKED,2026,CVPR,Dexterous World Models,./2026/CVPR/2026_CVPR_Dexterous-World-Models/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0105,73,UNREAD,FULL_TEXT_CHECKED,2026,ICLR,EquAct: An SE(3)-Equivariant Multi-Task Transformer for 3D Robotic Manipulation,./2026/ICLR/2026_ICLR_EquAct-An-SE3-Equivariant-Multi-Task-Transformer-for-3D-Ro/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0815,74,UNREAD,FULL_TEXT_CHECKED,2026,ICML,"Tabero: Learning Gentle Manipulation with Closed-Loop Force Feedback from Vision, Touch, and Language",./2026/ICML/2026_ICML_Tabero-Learning-Gentle-Manipulation-with-Closed-Loop-Force/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0818,75,UNREAD,FULL_TEXT_CHECKED,2026,RSS,TactAlign: Human-to-Robot Policy Transfer via Tactile Alignment,./2026/RSS/2026_RSS_TactAlign-Human-to-Robot-Policy-Transfer-via-Tactile-Align/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0820,76,UNREAD,FULL_TEXT_CHECKED,2026,RSS,DexterityGen: Foundation Controller for Unprecedented Dexterity,./2026/RSS/2026_RSS_DexterityGen-Foundation-Controller-for-Unprecedented-Dexte/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0892,77,UNREAD,ABSTRACT_CHECKED,2025,RSS,V-HOP: Visuo-Haptic 6D Object Pose Tracking,./2025/RSS/2025_RSS_V-HOP-Visuo-Haptic-6D-Object-Pose-Tracking/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0893,78,UNREAD,ABSTRACT_CHECKED,2025,RSS,PP-Tac: Paper Picking Using Omnidirectional Tactile Feedback in Dexterous Robotic Hands,./2025/RSS/2025_RSS_PP-Tac-Paper-Picking-Using-Omnidirectional-Tactile-Feedbac/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0894,79,UNREAD,ABSTRACT_CHECKED,2025,RSS,GeoDEx: A Unified Geometric Framework for Tactile Dexterous and Extrinsic Manipulation under Force Uncertainty,./2025/RSS/2025_RSS_GeoDEx-A-Unified-Geometric-Framework-for-Tactile-Dexterous/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0895,80,UNREAD,ABSTRACT_CHECKED,2025,RSS,Demonstrating REASSEMBLE: A Multimodal Dataset for Contact-rich Robotic Assembly and Disassembly,./2025/RSS/2025_RSS_Demonstrating-REASSEMBLE-A-Multimodal-Dataset-for-Contact/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0896,81,UNREAD,ABSTRACT_CHECKED,2025,RSS,Robust Peg-in-Hole Assembly under Uncertainties via Compliant and Interactive Contact-Rich Manipulation,./2025/RSS/2025_RSS_Robust-Peg-in-Hole-Assembly-under-Uncertainties-via-Compli/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0901,82,UNREAD,ABSTRACT_CHECKED,2025,RSS,FACTR: Force-Attending Curriculum Training for Contact-Rich Policy Learning,./2025/RSS/2025_RSS_FACTR-Force-Attending-Curriculum-Training-for-Contact-Rich/01_overview.md,,,,,,,,,
NEXT,"Contact-rich, deformable, force, and dexterous manipulation","Manipulation, contact, tactile, and dexterity",pr-0904,83,UNREAD,ABSTRACT_CHECKED,2025,RSS,CordViP: Correspondence-based Visuomotor Policy for Dexterous Manipulation in Real-World,./2025/RSS/2025_RSS_CordViP-Correspondence-based-Visuomotor-Policy-for-Dextero/01_overview.md,,,,,,,,,
